Stop_ID,CTA Stop Name,Direction,Routes,Ward,LONGITUDE,LATITUDE,Location
68,Jackson & Franklin,EB,"1,7,28,126,130,151,156",42,-87.635401,41.878051,"(41.878051, -87.635401)"
69,Jackson & Financial Place,EB,"1,7,28,126,130,132,151",42,-87.632868,41.878081,"(41.878081, -87.632868)"
73,Michigan & Van Buren/Congress,SB,"1,3,4,7,J14,26,28,126,132,143,147",42,-87.624396,41.876271,"(41.876271, -87.624396)"
75,Michigan & Van Buren,NB,"1,7,28,126",42,-87.62416,41.87669,"(41.87669, -87.62416)"
76,Michigan & Jackson,NB,"3,4,6,J14,26,143",42,-87.624193,41.878135,"(41.878135, -87.624193)"
77,Adams & Wabash,WB,"1,7,28,126,151",42,-87.625884,41.879575,"(41.879575, -87.625884)"
80,Adams & Wells,WB,"1,7,28,126,130,134,135,136,151,156",42,-87.634024,41.879426,"(41.879426, -87.634024)"
200,Harrison & Morgan,EB,"7,60",25,-87.651938,41.874283,"(41.874283, -87.651938)"
206,Harrison & Halsted,WB,"7,60,755",25,-87.64775,41.874441,"(41.874441, -87.64775)"
312,Roosevelt & Canal,EB,"12,18,N62",25,-87.638826,41.867139,"(41.867139, -87.638826)"
358,Roosevelt & Homan,WB,12,24,-87.71027,41.866418,"(41.866418, -87.71027)"
397,Madison & Laramie,EB,20,29,-87.75526,41.88027,"(41.88027, -87.75526)"
409,Madison & Pulaski,EB,20,28,-87.725823,41.880614,"(41.880614, -87.725823)"
442,Washington & Jefferson,EB,"J14,19,20,56",42,-87.642848,41.88311,"(41.88311, -87.642848)"
449,Washington & Wabash,EB,"N4,J14,19,20,56,60,N66,124,147,151,157",42,-87.625966,41.883159,"(41.883159, -87.625966)"
455,Madison & Clinton,WB,"J14,19,20,56,192",42,-87.641043,41.881947,"(41.881947, -87.641043)"
465,Madison & Ashland,WB,20,27,-87.666567,41.881523,"(41.881523, -87.666567)"
523,Chicago & Cicero,EB,66,37,-87.745937,41.894906,"(41.894906, -87.745937)"
530,Chicago & Pulaski,EB,66,37,-87.726211,41.89529,"(41.89529, -87.726211)"
548,Chicago & Western,EB,66,26,-87.687019,41.895662,"(41.895662, -87.687019)"
552,Chicago & Damen,EB,66,1,-87.677192,41.895831,"(41.895831, -87.677192)"
556,Chicago & Ashland,EB,66,1,-87.667474,41.895993,"(41.895993, -87.667474)"
590,Grand & Fairbanks/Columbus,WB,"2,29,65,66",42,-87.620009,41.891862,"(41.891862, -87.620009)"
594,Fairbanks & Huron,NB,"3,66,120,121,157",42,-87.620252,41.894886,"(41.894886, -87.620252)"
597,Chicago & Mies Van Der Rohe,WB,"3,26,66,157",2,-87.621709,41.896838,"(41.896838, -87.621709)"
599,Chicago & Michigan,WB,66,42,-87.624493,41.8968,"(41.8968, -87.624493)"
601,Chicago & State (Red Line),WB,66,42,-87.628022,41.896741,"(41.896741, -87.628022)"
606,Chicago & Franklin (Brown line),WB,66,27,-87.635534,41.896669,"(41.896669, -87.635534)"
617,Chicago Blue Line Station,WB,66,27,-87.655108,41.896353,"(41.896353, -87.655108)"
622,Chicago & Ashland,WB,66,1,-87.667079,41.896151,"(41.896151, -87.667079)"
648,Chicago & Pulaski,WB,66,37,-87.725901,41.895445,"(41.895445, -87.725901)"
672,Grand & Oak Park,EB,"65,74",36,-87.795414,41.923518,"(41.923518, -87.795414)"
738,Grand & Halsted/Milwaukee (Blue Line),EB,65,27,-87.647777,41.891115,"(41.891115, -87.647777)"
759,Grand & Streeter,WB,"2,29,65,66,124",42,-87.612125,41.892011,"(41.892011, -87.612125)"
765,Grand & Dearborn,WB,65,42,-87.629467,41.891714,"(41.891714, -87.629467)"
949,North Ave & Western,WB,72,32,-87.687029,41.91039,"(41.91039, -87.687029)"
1023,Sheridan & Pratt,SB,"147,151,155",49,-87.660998,42.005364,"(42.005364, -87.660998)"
1027,Sheridan & Loyola (Red Line),SB,"147,151,155",49,-87.66086,42.001423,"(42.001423, -87.66086)"
1033,Sheridan & Granville,SB,"136,147,151",48,-87.655598,41.994419,"(41.994419, -87.655598)"
1034,Sheridan & Glenlake,SB,"136,147,151",48,-87.655528,41.992167,"(41.992167, -87.655528)"
1036,Sheridan & Ardmore,SB,"136,147,151",48,-87.655379,41.987459,"(41.987459, -87.655379)"
1037,Sheridan & Hollywood,SB,"136,147,151",48,-87.655319,41.985339,"(41.985339, -87.655319)"
1038,Sheridan & Bryn Mawr,SB,"136,147,151",48,-87.655246,41.983481,"(41.983481, -87.655246)"
1039,Sheridan & Catalpa,SB,"136,147,151",48,-87.655222,41.981684,"(41.981684, -87.655222)"
1040,Sheridan & Balmoral,SB,"136,147,151",48,-87.655155,41.979782,"(41.979782, -87.655155)"
1061,Lake Shore & Grace,SB,"135,146,151,152",46,-87.645114,41.952058,"(41.952058, -87.645114)"
1062,Lake Shore & Waveland,SB,"135,146,151,152",46,-87.644544,41.950278,"(41.950278, -87.644544)"
1063,Lake Shore & Addison,SB,"135,146,151",46,-87.643435,41.948591,"(41.948591, -87.643435)"
1065,Lake Shore & Cornelia,SB,"135,146,151",46,-87.642378,41.946619,"(41.946619, -87.642378)"
1067,Lake Shore & Hawthorne,SB,"135,146,151",44,-87.641292,41.944655,"(41.944655, -87.641292)"
1068,Lake Shore & Roscoe,SB,"135,146,151",44,-87.640579,41.943216,"(41.943216, -87.640579)"
1073,Sheridan & Barry,SB,"134,143,151,156",44,-87.639535,41.937565,"(41.937565, -87.639535)"
1075,Sheridan & Oakdale,SB,"134,143,151,156",44,-87.639465,41.935383,"(41.935383, -87.639465)"
1076,Sheridan & Surf,SB,"134,143,151,156",44,-87.639426,41.934186,"(41.934186, -87.639426)"
1077,Sheridan & Diversey,SB,"134,143,151,156",44,-87.639398,41.933015,"(41.933015, -87.639398)"
1078,Stockton & Wrightwood,SB,"134,143,151,156",43,-87.639031,41.931304,"(41.931304, -87.639031)"
1079,Stockton & Roslyn,SB,"134,143,151,156",43,-87.639002,41.928292,"(41.928292, -87.639002)"
1080,Stockton & Arlington,SB,"134,143,151,156",43,-87.637775,41.926488,"(41.926488, -87.637775)"
1082,Stockton & Webster,SB,"151,156",43,-87.635806,41.922116,"(41.922116, -87.635806)"
1097,Michigan & Delaware,SB,"143,146,147,148,151",42,-87.624246,41.899345,"(41.899345, -87.624246)"
1098,Michigan & Pearson,SB,"10,125,143,146,147,100,000",42,-87.624234,41.897731,"(41.897731, -87.624234)"
1101,Michigan & Ohio,SB,"2,3,10,26,143,146,147,148,151,157",42,-87.624328,41.892691,"(41.892691, -87.624328)"
1102,Michigan & Illinois,SB,"2,3,10,26,143,146,147,148,151,157",42,-87.624293,41.891032,"(41.891032, -87.624293)"
1103,Michigan & Hubbard (Wrigley Bldg.),SB,"2,3,10,26,N66,143,146,147,148,151,157",42,-87.624244,41.889894,"(41.889894, -87.624244)"
1105,Michigan & Lake/Randolph,SB,"3,4,19,26,N66,124,143,147,151,157",42,-87.624615,41.885104,"(41.885104, -87.624615)"
1106,Michigan & Washington,SB,"3,4,19,20,26,60,N66,124,143,147,151,157",42,-87.624588,41.883414,"(41.883414, -87.624588)"
1110,Michigan & Jackson,SB,"3,4,J14,26,143,147",42,-87.624446,41.878429,"(41.878429, -87.624446)"
1113,State & Van Buren,NB,"2,10,29,130,146,147,148",4,-87.627543,41.876848,"(41.876848, -87.627543)"
1115,State & Adams,NB,"2,10,29,146,147,148,151",42,-87.62761,41.879401,"(41.879401, -87.62761)"
1119,Michigan & Randolph,NB,"3,6,19,20,26,N66,124,143,147,151,157",42,-87.624318,41.884688,"(41.884688, -87.624318)"
1120,Michigan & South Water,NB,"3,6,20,26,N66,124,143,146,147,148,151,157",42,-87.624384,41.8867,"(41.8867, -87.624384)"
1122,Michigan & Hubbard (Tribune Bldg.),NB,"2,3,10,26,N66,143,146,147,148,151,157",42,-87.623969,41.890205,"(41.890205, -87.623969)"
1123,Michigan & Grand,NB,"2,3,10,26,143,146,147,148,151,157",42,-87.624034,41.891769,"(41.891769, -87.624034)"
